frame,player_id,team,x,y,speed_kmh,distance_m,total_distance_m
23,10,Team_1,412,297,6.81,0.06,0.71
23,11,Team_2,459,292,3.05,0.03,0.61
23,12,Umpire,713,393,2.15,0.02,0.31
23,13,Team_2,800,402,3.05,0.03,0.49
23,14,Umpire,1106,285,8.62,0.08,1.46
23,16,Umpire,1160,255,8.62,0.08,1.32
24,1,Team_2,1013,358,8.88,0.08,1.2
24,2,Team_1,648,359,0.0,0.0,0.16
24,3,Team_1,990,355,10.99,0.1,1.26
24,5,Team_1,915,544,6.81,0.06,1.09
24,6,Team_2,967,529,4.82,0.04,1.17
24,7,Team_2,363,370,4.31,0.04,0.89
24,8,Team_2,778,380,4.31,0.04,0.53
24,9,Team_1,613,409,0.0,0.0,0.26
24,10,Team_1,410,296,4.82,0.04,0.75
24,11,Team_2,457,292,4.31,0.04,0.65
24,12,Umpire,713,393,0.0,0.0,0.31
24,13,Team_2,801,403,3.05,0.03,0.52
24,14,Umpire,1110,285,8.62,0.08,1.54
24,16,Umpire,1165,255,10.77,0.1,1.42
25,1,Team_2,1014,358,2.15,0.02,1.22
25,2,Team_1,648,359,0.0,0.0,0.16
25,3,Team_1,992,356,4.82,0.04,1.3
25,5,Team_1,916,545,3.05,0.03,1.12
25,6,Team_2,967,529,0.0,0.0,1.17
25,7,Team_2,362,370,2.15,0.02,0.91
25,8,Team_2,778,380,0.0,0.0,0.53
25,9,Team_1,613,409,0.0,0.0,0.26
25,10,Team_1,409,296,2.15,0.02,0.77
25,11,Team_2,457,292,0.0,0.0,0.65
25,12,Umpire,714,393,2.15,0.02,0.33
25,13,Team_2,802,403,2.15,0.02,0.54
25,14,Umpire,1112,285,4.31,0.04,1.58
25,16,Umpire,1166,254,3.05,0.03,1.44
26,1,Team_2,1017,357,6.81,0.06,1.28
26,2,Team_1,648,360,2.15,0.02,0.18
26,3,Team_1,994,356,4.31,0.04,1.34
26,5,Team_1,918,546,4.82,0.04,1.17
26,6,Team_2,970,531,7.77,0.07,1.24
26,7,Team_2,360,370,4.31,0.04,0.95
26,8,Team_2,780,381,4.82,0.04,0.58
26,9,Team_1,613,410,2.15,0.02,0.28
26,10,Team_1,407,295,4.82,0.04,0.82
26,11,Team_2,455,291,4.82,0.04,0.7
26,12,Umpire,714,394,2.15,0.02,0.35
26,13,Team_2,803,403,2.15,0.02,0.56
26,14,Umpire,1115,284,6.81,0.06,1.64
26,16,Umpire,1170,254,8.62,0.08,1.52
26,19,Team_1,381,366,25.94,0.24,0.24
27,1,Team_2,1020,357,6.46,0.06,1.34
27,2,Team_1,648,360,0.0,0.0,0.18
27,3,Team_1,997,355,6.81,0.06,1.41
27,5,Team_1,919,548,4.82,0.04,1.21
27,6,Team_2,973,534,9.14,0.08,1.33
27,7,Team_2,358,369,4.82,0.04,1.0
27,8,Team_2,780,382,2.15,0.02,0.6
27,9,Team_1,613,411,2.15,0.02,0.3
27,10,Team_1,404,296,6.81,0.06,0.88
27,11,Team_2,454,291,2.15,0.02,0.72
27,12,Umpire,714,394,0.0,0.0,0.35
27,13,Team_2,805,403,4.31,0.04,0.6
27,14,Umpire,1119,282,9.64,0.09,1.73
27,16,Umpire,1175,252,11.6,0.11,1.63
